,Unnamed: 0,Composition,Type,Experimental Structure,EP 1 element,EP 1 Ehull (eV/atom),EP 1 band gap (eV),EP 1 Entry id,EP 2 element,EP 2 Ehull (eV/atom),EP 2 band gap (eV),EP 2 Entry id,EP 3 element,EP 3 Ehull (eV/atom),EP 3 band gap (eV),EP 3 Entry id
354,18,NbFeSi,III_IV,MgSrSi (Pnma),Nb,0.984,0,919280,Fe,0.268,0,957974,Si,0.653,0,581143
355,19,YNiAs,III_IV,OTHER,Y,0.909,0,856760,Ni,0.133,0.582,961388,As,0.432,0.381,583257
356,20,ErNiPb,III_IV,MgSrSi (Pnma),Er,0.746,0,874396,Ni,0.03,0,960116,Pb,0.558,,929937
357,21,SrMgAu,III_IV,MgSrSi (Pnma),Sr,0.637,0,976639,Mg,0.472,0,842836,Au,0.153,0,946360
358,22,LuRhAl,III_IV,MgSrSi (Pnma),Lu,1.09,0,905283,Al,0.73,0,942505,Rh,0.26,0,885582
359,23,CePdPb,III_IV,MoNiP (P-62m),Ce,0.7,0,920919,Pd,0.075,,897772,Pb,0.501,,928632
360,0,HfCoAl,III_IV,OTHER,Hf,1.105,0,862802,Al,0.924,0,941414,Co,0.296,0,860207
361,1,LaRhZn,III_IV,OTHER,La,0.825,0,832273,Zn,0.485,0,914383,Rh,0.192,0,885699
362,2,KRbS,III_IV,MgSrSi (Pnma),K,0.22,2.695,1726881,Rb,0.292,2.464,1726327,S,0.01,2.294,1726604
363,3,YbMgPb,III_IV,MoNiP (P-62m),Yb,0.558,0,828631,Mg,0.26,0,843494,Pb,0.09,0.72,929434
364,4,HoMnGe,III_IV,MgSrSi (Pnma),Ho,1.002,0,891263,Mn,0.514,,905180,Ge,0.364,0,868301
365,5,PdSbSe,III_IV,OTHER,Sb,0.552,0,1726297,Pd,0.166,0,1726851,Se,0.602,0,1726574
366,6,HfOsAs,III_IV,MoNiP (P-62m),Hf,0.881,0,862044,As,0.717,0,828092,Os,0.354,0,572088
367,7,ZrSiSe,III_IV,OTHER,Zr,0.95,0,1726757,Si,1.143,0,1726203,Se,1.06,0,1726480
